start,end,length,worst_dd
2009-12-31,2009-12-31,1,-0.07099788563840037
2010-06-30,2010-06-30,1,-0.05835986835780482
2011-08-31,2011-11-30,4,-0.15484745938218059
2012-04-30,2012-04-30,1,-0.06620103170728442
2015-08-31,2015-08-31,1,-0.062333994359940026
2015-12-31,2015-12-31,1,-0.06355319983442775
2018-10-31,2018-11-30,2,-0.11722205419008325
2020-09-30,2020-09-30,1,-0.05984795430388734
2021-12-31,2022-03-31,4,-0.14684826456663735
2022-05-31,2022-06-30,2,-0.18846272739421333
2022-08-31,2022-11-30,4,-0.19316969560325126
2023-01-31,2023-03-31,3,-0.1255847384113632
2023-08-31,2023-08-31,1,-0.06278150942708471
2025-02-28,2025-03-31,2,-0.1025293494914915
