date,equity
2000-01-07,100000.0
2000-01-14,100000.0
2000-01-21,100000.0
2000-01-28,100000.0
2000-02-04,100000.0
2000-02-11,100000.0
2000-02-18,100000.0
2000-02-25,100000.0
2000-03-03,100000.0
2000-03-10,100000.0
2000-03-17,100000.0
2000-03-24,100000.0
2000-03-31,100000.0
2000-04-07,100000.0
2000-04-14,100000.0
2000-04-21,100000.0
2000-04-28,100000.0
2000-05-05,100000.0
2000-05-12,100000.0
2000-05-19,100000.0
2000-05-26,100000.0
2000-06-02,113186.94938369161
2000-06-09,112200.88708430769
2000-06-16,108022.61615747526
2000-06-23,105887.1913644427
2000-06-30,109947.03685012473
2000-07-07,112117.23003207428
2000-07-14,119677.10674145578
2000-07-21,112072.66820101596
2000-07-28,96949.0635406308
2000-08-04,98754.15079080318
2000-08-11,101751.53501679214
2000-08-18,108071.89265723884
2000-08-25,113655.85825221473
2000-09-01,119321.26307514306
2000-09-08,117342.5219282122
2000-09-15,112658.00677924503
2000-09-22,108155.02483607423
2000-09-29,85607.28321247922
2000-10-06,74308.04326559829
2000-10-13,70908.09586688055
2000-10-20,75166.35459792012
2000-10-27,78835.99512768458
2000-11-03,85703.89403944911
2000-11-10,75540.99332347467
2000-11-17,73229.91898768868
2000-11-24,75945.73734690555
2000-12-01,64405.02872175392
2000-12-08,60023.9186045121
2000-12-15,56285.820555580176
2000-12-22,50489.988637929484
2000-12-29,49239.8294881954
2001-01-05,52016.12219344145
2001-01-12,58141.35515780269
2001-01-19,65931.10771939495
2001-01-26,66600.12687188975
2001-02-02,60865.638429032144
2001-02-09,57415.72488459301
2001-02-16,57151.10584810991
2001-02-23,54166.509803217334
2001-03-02,51796.07162136912
2001-03-09,56577.67116570046
2001-03-16,53364.209705091016
2001-03-23,55761.44920659038
2001-03-30,54471.282182725954
2001-04-06,50450.43793331357
2001-04-13,66396.41642720962
2001-04-20,73084.89919669862
2001-04-27,72762.33972422256
2001-05-04,77294.78573325711
2001-05-11,69675.83230088664
2001-05-18,69991.88823577124
2001-05-25,73951.02890675489
2001-06-01,71525.62512791122
2001-06-08,71224.11445091019
2001-06-15,63713.01287486654
2001-06-22,65703.91093378473
2001-06-29,71095.75997500152
2001-07-06,69475.00534026005
2001-07-13,76883.78336489646
2001-07-20,71085.39647971335
2001-07-27,62004.37458885589
2001-08-03,62872.59028861706
2001-08-10,58132.718404170344
2001-08-17,56166.24530883438
2001-08-24,57185.46797996503
2001-08-31,53225.25090978792
2001-09-07,50644.087396624316
2001-09-14,51634.38640855562
2001-09-21,45363.357180555344
2001-09-28,42543.43714536511
2001-10-05,47856.45876138439
2001-10-12,51261.917156219075
2001-10-19,51870.713265958744
2001-10-26,52533.003307377745
2001-11-02,50245.14579493205
2001-11-09,52434.05810634244
2001-11-16,57313.92287503124
2001-11-23,58165.42284845517
2001-11-30,64225.42055557401
2001-12-07,67416.27346346457
2001-12-14,63781.010645955495
2001-12-21,62515.822031119475
2001-12-28,65912.14109707547
2002-01-04,70200.91225812687
2002-01-11,65164.21806726785
2002-01-18,63812.000571152115
2002-01-25,73068.55339233563
2002-02-01,72650.9521255028
2002-02-08,69362.91312177978
2002-02-15,70721.32386443886
2002-02-22,68102.69973214612
2002-03-01,74164.1838350103
2002-03-08,78021.1438356448
2002-03-15,74042.96383707553
2002-03-22,75025.26552681634
2002-03-29,72550.62959280355
2002-04-05,70510.52531462484
2002-04-12,70508.96692236277
2002-04-19,73121.89004892201
2002-04-26,72763.27121280067
2002-05-03,71143.09874699218
2002-05-10,72500.96148422465
2002-05-17,80306.89273461698
2002-05-24,78496.12836816059
2002-05-31,74754.25448321649
2002-06-07,73724.4611486973
2002-06-14,71449.72884400419
2002-06-21,67323.83618212331
