date,equity
2005-01-31,100000.0
2005-02-28,100000.0
2005-03-31,100000.0
2005-04-30,100000.0
2005-05-31,100000.0
2005-06-30,100000.0
2005-07-31,100000.0
2005-08-31,100000.0
2005-09-30,100000.0
2005-10-31,100000.0
2005-11-30,100000.0
2005-12-31,100000.0
2006-01-31,110991.52137925547
2006-02-28,107690.27718252575
2006-03-31,111604.20099992894
2006-04-30,117868.11552031168
2006-05-31,108533.32312201653
2006-06-30,105476.35096590672
2006-07-31,111384.65064211875
2006-08-31,116603.02856353782
2006-09-30,122737.05793583849
2006-10-31,128960.97120583159
2006-11-30,136229.92661329685
2006-12-31,138405.80401782348
2007-01-31,139096.2632333497
2007-02-28,133214.1601944502
2007-03-31,137481.89942247228
2007-04-30,152949.90719134867
2007-05-31,162138.28199824676
2007-06-30,166231.74252166456
2007-07-31,172989.87628998476
2007-08-31,179982.60737442653
2007-09-30,197605.51301109095
2007-10-31,214934.31990907076
2007-11-30,209386.3262348914
2007-12-31,216186.33421217912
2008-01-31,202722.99645523165
2008-02-29,206986.17373801945
2008-03-31,212212.44380852216
2008-04-30,231425.76849482418
2008-05-31,237623.3589326765
2008-06-30,230513.76373181312
2008-07-31,235649.63992346247
2008-08-31,233003.7326828725
2008-09-30,233543.30386486909
2008-10-31,233543.30386486909
2008-11-30,233543.30386486909
2008-12-31,246728.30842648825
2009-01-31,246728.30842648825
2009-02-28,246728.30842648825
2009-03-31,262875.9398950697
2009-04-30,278278.1620029233
2009-05-31,278278.1620029233
2009-06-30,279946.2735709721
2009-07-31,306476.6629631129
2009-08-31,325089.58719283174
2009-09-30,354642.79813441617
2009-10-31,363532.33774407825
2009-11-30,410149.08361205354
2009-12-31,463259.7892980344
2010-01-31,422677.25675074395
2010-02-28,441340.46217265294
2010-03-31,494987.88011508674
2010-04-30,516117.16598483385
2010-05-31,490346.5766877821
2010-06-30,460859.28262747807
2010-07-31,477647.2892379082
2010-08-31,487300.91751263774
2010-09-30,562452.8166776825
2010-10-31,599832.2046312321
2010-11-30,634865.0685008629
2010-12-31,670881.0243662572
2011-01-31,743211.1293247417
2011-02-28,797945.5416022066
2011-03-31,815906.8959014948
2011-04-30,874535.533254943
2011-05-31,870126.5254841938
2011-06-30,852668.9943069897
2011-07-31,858639.0290629556
2011-08-31,850128.9990809537
2011-09-30,825566.9175115307
2011-10-31,907545.4922622676
2011-11-30,918821.5015063701
2011-12-31,947807.9048813814
2012-01-31,1022531.7586525738
2012-02-29,1089906.0130510426
2012-03-31,1145805.0945391492
2012-04-30,1158733.1737901527
2012-05-31,1145669.9713423217
2012-06-30,1210165.3062595958
2012-07-31,1247308.570848415
2012-08-31,1281807.2012110732
2012-09-30,1338923.2578826142
2012-10-31,1338281.3007203664
2012-11-30,1378170.153635094
2012-12-31,1430513.8633712146
2013-01-31,1638515.1985731306
2013-02-28,1676461.237900888
2013-03-31,1726000.3705537377
2013-04-30,1872972.8045222622
2013-05-31,2215397.334447783
2013-06-30,2230861.452886155
2013-07-31,2530610.6966919936
2013-08-31,2599659.126326077
2013-09-30,2868304.013961787
2013-10-31,2907988.165622722
2013-11-30,3043801.4134081537
2013-12-31,3287853.2384055853
2014-01-31,3489773.690274302
2014-02-28,3873022.6750048106
2014-03-31,3782562.569026984
2014-04-30,3834988.1677230154
2014-05-31,4151406.85612607
2014-06-30,4380713.513873207
2014-07-31,4386180.493294502
2014-08-31,4780174.903044449
2014-09-30,4830681.9944175165
2014-10-31,4903342.2549376665
2014-11-30,5214249.887756872
2014-12-31,5176113.5510339
2015-01-31,5131855.46236623
2015-02-28,5591688.401978429
2015-03-31,5596214.249757479
2015-04-30,5792344.5801215265
2015-05-31,6236972.232116912
2015-06-30,6272232.985206544
2015-07-31,6749608.1488270275
2015-08-31,6590323.657602373
2015-09-30,6596358.105920292
2015-10-31,7262584.9117324175
2015-11-30,7671378.612413014
2015-12-31,7762073.703923684
2016-01-31,7252550.520621916
2016-02-29,7147298.946527219
2016-03-31,7871306.045946905
2016-04-30,8006110.168654539
2016-05-31,8814842.894806955
2016-06-30,9082822.543470617
2016-07-31,10103812.277442547
2016-08-31,10389749.697131915
2016-09-30,10727885.495331015
2016-10-31,10749816.439429099
2016-11-30,12304152.718284773
2016-12-31,13266057.936857488
2017-01-31,13690677.289639557
2017-02-28,14686275.478766344
2017-03-31,15034747.901189066
2017-04-30,14838492.011985669
2017-05-31,15807496.736921292
2017-06-30,16098926.068450201
2017-07-31,16970039.618627407
2017-08-31,17646904.65031062
2017-09-30,18684631.586041093
2017-10-31,19740716.919170402
2017-11-30,19608654.010226447
2017-12-31,19385901.20617998
2018-01-31,22417213.357113753
2018-02-28,22762175.803371504
2018-03-31,22632652.269074295
2018-04-30,22925327.922731046
2018-05-31,24663321.573293317
2018-06-30,24658598.483267773
2018-07-31,25062350.784452613
2018-08-31,27963885.59549977
2018-09-30,28893763.38367175
2018-10-31,25503466.082237322
2018-11-30,26638997.10181518
2018-12-31,24501744.155287568
2019-01-31,26938005.9170468
2019-02-28,28211847.1027893
2019-03-31,30050280.786590666
2019-04-30,33840939.690784164
2019-05-31,32590729.868790366
2019-06-30,35816538.254949994
2019-07-31,36254315.08325937
2019-08-31,37808946.038629994
2019-09-30,37693083.14766684
2019-10-31,39633752.52929012
2019-11-30,42753531.300924174
2019-12-31,46294918.561218135
2020-01-31,49559837.77266968
2020-02-29,48709730.69386365
2020-03-31,46548548.51505051
2020-04-30,54364222.02428226
2020-05-31,58410555.094146825
2020-06-30,64613121.009951405
2020-07-31,75978172.6386097
2020-08-31,90888061.43677072
2020-09-30,85761650.93906383
2020-10-31,82315470.33967406
2020-11-30,95874865.59312539
2020-12-31,102673948.47743449
2021-01-31,104771465.12020901
2021-02-28,106546217.68485235
2021-03-31,107079775.68286404
2021-04-30,113580455.33182181
2021-05-31,116623059.8628659
2021-06-30,123095134.50856279
2021-07-31,125245338.23383273
2021-08-31,133397267.52358566
2021-09-30,129828212.71764952
2021-10-31,148268779.02845222
2021-11-30,152301037.1226228
2021-12-31,153835439.7224305
2022-01-31,151619325.10251248
2022-02-28,153569200.44245127
2022-03-31,165513082.61184436
2022-04-30,153317412.59164497
2022-05-31,155813242.51692304
2022-06-30,146374856.86584243
2022-07-31,165483219.2296986
2022-08-31,159469326.704515
2022-09-30,150320132.03848138
2022-10-31,168101030.44913268
2022-11-30,177960032.49620676
2022-12-31,173835077.36780107
2023-01-31,177926322.15425017
2023-02-28,174568002.26445726
2023-03-31,180336809.59465414
2023-04-30,185704307.21281484
2023-05-31,218899338.12906045
2023-06-30,232230668.3251639
2023-07-31,243049418.80855805
2023-08-31,237695995.60059717
2023-09-30,223465925.5447925
2023-10-31,224658761.80166075
2023-11-30,257180249.6369446
2023-12-31,283263046.60654825
2024-01-31,303768770.79678696
2024-02-29,341993812.1503757
2024-03-31,360697686.2185331
2024-04-30,344612136.18382674
2024-05-31,388169063.69338864
2024-06-30,418704832.17815834
2024-07-31,400856159.2074264
2024-08-31,415415381.07364404
2024-09-30,427372374.1213541
2024-10-31,443963788.5638385
2024-11-30,487990378.1237326
2024-12-31,512197114.1018882
2025-01-31,545017426.6717619
2025-02-28,528232047.5276639
2025-03-31,493068615.1117219
2025-04-30,525323542.0311928
2025-05-31,583005125.0965742
2025-06-30,621025882.2207344
2025-07-31,629649839.9743631
2025-08-31,649629807.6160012
2025-09-30,740429435.272326
2025-10-31,866438209.2149127
2025-11-30,899717001.5582836
2025-12-31,928891785.9923598
2026-01-31,965087272.2393347
