ticker,equity,leverage
AAPL,189.47952560782477,1.5
AMD,1887.8939537071587,1.1395388471266648
AMZN,34338.07413793628,1.3153823438436314
ASML,435134.468920929,1.2038533865200174
AVGO,4762775.606662203,1.5
BAC,4716396.529007769,1.5
COST,22156522.30808342,1.5
CVX,186113949.49979192,1.4194660840872295
DIA,584131119.1099939,1.5
DIS,1608512063.2394319,1.5
GLD,3923707191.775582,1.5
GOOGL,74250239391.13026,1.5
GS,278214832822.0064,1.5
HD,2141014124717.04,1.5
INTC,3247002941235.0264,1.5
IWM,8009217858961.325,1.5
JPM,6780036269080.904,1.5
META,13689300855959.123,1.186855757406679
MS,4563145218813.22,1.5
MSFT,26609738102800.598,1.5
MU,22301764998836.688,1.5
NFLX,2236573273152740.0,1.1377202845895675
NVDA,1.3514747020115381e+17,1.1730606996121915
QCOM,1.7982019648152934e+17,1.3474333563108367
QQQ,1.5656109659481055e+18,1.5
SLV,1.4610646612770804e+19,1.5
SMH,2.266287899754529e+19,1.5
SPY,8.628448703588807e+19,1.5
TLT,1.5949411581631152e+20,1.5
TSLA,2.2339926899242408e+21,0.9098130572539552
UNH,1.655202033793012e+22,1.5
UUP,1.291823621985098e+22,1.5
V,2.4415095245896063e+22,1.5
VTI,1.2828713191529877e+23,1.5
WMT,1.1544823718522384e+23,1.5
XLK,5.70516065965535e+23,1.5
XOM,8.337451548966584e+23,1.2051108308081993
