month,return,date,beta_3m,vol_3m,max_dd_3m,beta_6m,vol_6m,max_dd_6m,beta_12m,vol_12m,max_dd_12m,portfolio_tail_max_dd
2005-03-01,-0.0558218252580724,2005-03-01,,,,,,,,,,-0.1217084191553887
2005-04-01,-0.0643702038784035,2005-04-01,,,,,,,,,,-0.1217084191553887
2005-05-01,0.0645682826538696,2005-05-01,,,,,,,,,,-0.1217084191553887
2005-06-01,-0.002430338499355,2005-06-01,,,,,,,,,,-0.1217084191553887
2005-07-01,0.073875169098698,2005-07-01,,,,,,,,,,-0.1217084191553887
2005-08-01,-0.000816078569518,2005-08-01,,,,,,,,,,-0.1217084191553887
2005-09-01,0.0580224658131696,2005-09-01,,,,,,,,,,-0.1217084191553887
2005-10-01,-0.0465352247154363,2005-10-01,,,,,,,,,,-0.1217084191553887
2005-11-01,0.0864910126162785,2005-11-01,,,,,,,,,,-0.1217084191553887
2005-12-01,-0.0229578462122902,2005-12-01,,,,,,,,,,-0.1217084191553887
2006-01-01,0.0591137171420221,2006-01-01,,,,,,,,,,-0.1217084191553887
2006-02-01,-0.0353548786880605,2006-02-01,,,,,,,,,,-0.1217084191553887
2006-03-01,-0.0285440072153407,2006-03-01,,,,,,,,,,-0.1217084191553887
2006-04-01,0.0329196719543736,2006-04-01,,,,,,,,,,-0.1217084191553887
2006-05-01,-0.0456438102614886,2006-05-01,,,,,,,,,,-0.1217084191553887
2006-06-01,-0.0367932358791861,2006-06-01,,,,,,,,,,-0.1217084191553887
2006-07-01,-0.0160914698822458,2006-07-01,,,,,,,,,,-0.1217084191553887
2006-08-01,0.0843887520918476,2006-08-01,,,,,,,,,,-0.1217084191553887
2006-09-01,0.0221864238420776,2006-09-01,,,,,,,,,,-0.1217084191553887
2006-10-01,0.0059328164923004,2006-10-01,,,,,,,,,,-0.1217084191553887
2006-11-01,0.0612356733278596,2006-11-01,,,,,,,,,,-0.1217084191553887
2006-12-01,-0.0074339445563706,2006-12-01,,,,,,,,,,-0.1217084191553887
2007-01-01,-0.0017543227703187,2007-01-01,,,,,,,,,,-0.1217084191553887
2007-02-01,-0.0427434746947704,2007-02-01,,,,,,,,,,-0.1217084191553887
2007-03-01,0.0120811547185895,2007-03-01,,,,,,,,,,-0.1217084191553887
2007-04-01,0.0561597530664745,2007-04-01,,,,,,,,,,-0.1217084191553887
2007-05-01,0.0263585054455941,2007-05-01,,,,,,,,,,-0.1217084191553887
2007-06-01,-0.0030209755115521,2007-06-01,,,,,,,,,,-0.1217084191553887
2007-07-01,-0.0324393605287768,2007-07-01,,,,,,,,,,-0.1217084191553887
2007-08-01,-0.0128509194817693,2007-08-01,,,,,,,,,,-0.1217084191553887
2007-09-01,0.0426344774419309,2007-09-01,,,,,,,,,,-0.1217084191553887
2007-10-01,0.0014602079876226,2007-10-01,,,,,,,,,,-0.1217084191553887
2007-11-01,-0.0691985127841285,2007-11-01,,,,,,,,,,-0.1217084191553887
2007-12-01,-0.027636795012543,2007-12-01,,,,,,,,,,-0.1217084191553887
2008-01-01,-0.0489303958835093,2008-01-01,,,,,,,,,,-0.1217084191553887
2008-02-01,-0.0459709915578825,2008-02-01,,,,,,,,,,-0.1217084191553887
2008-03-01,-0.0308389620807166,2008-03-01,,,,,,,,,,-0.1217084191553887
2008-04-01,0.0687973088313971,2008-04-01,,,,,,,,,,-0.1217084191553887
2008-05-01,0.0024628229311414,2008-05-01,,,,,,,,,,-0.1217084191553887
2008-06-01,-0.084654406999568,2008-06-01,,,,,,,,,,-0.1217084191553887
2008-07-01,-0.0629294753921333,2008-07-01,,,,,,,,,,-0.1217084191553887
2008-08-01,0.0191840371281979,2008-08-01,,,,,,,,,,-0.1217084191553887
2008-09-01,-0.1529621307681961,2008-09-01,,,,,,,,,,-0.1217084191553887
2008-10-01,-0.1419946722986874,2008-10-01,,,,,,,,,,-0.1217084191553887
2008-11-01,-0.1245356892252375,2008-11-01,,,,,,,,,,-0.1217084191553887
2008-12-01,0.1891806504169417,2008-12-01,,,,,,,,,,-0.1217084191553887
2009-01-01,0.0001405227249535,2009-01-01,,,,,,,,,,-0.1217084191553887
2009-02-01,-0.0443116326500272,2009-02-01,,,,,,,,,,-0.1217084191553887
2009-03-01,0.2235859632119821,2009-03-01,,,,,,,,,,-0.1217084191553887
2009-04-01,0.074146438054155,2009-04-01,,,,,,,,,,-0.1217084191553887
2009-05-01,0.0842120080709025,2009-05-01,,,,,,,,,,-0.1217084191553887
2009-06-01,-0.0490344981551155,2009-06-01,,,,,,,,,,-0.1217084191553887
2009-07-01,0.0782137105638427,2009-07-01,,,,,,,,,,-0.1217084191553887
2009-08-01,0.0387884360679191,2009-08-01,,,,,,,,,,-0.1217084191553887
2009-09-01,0.1060594766717251,2009-09-01,,,,,,,,,,-0.1217084191553887
2009-10-01,-0.0089142756001951,2009-10-01,,,,,,,,,,-0.1217084191553887
2009-11-01,0.1059395021270726,2009-11-01,,,,,,,,,,-0.1217084191553887
2009-12-01,0.057106394399895,2009-12-01,,,,,,,,,,-0.1217084191553887
2010-01-01,-0.1230981039074945,2010-01-01,,,,,,,,,,-0.1217084191553887
2010-02-01,0.0050527272437921,2010-02-01,,,,,,,,,,-0.1217084191553887
2010-03-01,0.0680122647678198,2010-03-01,,,,,,,,,,-0.1217084191553887
2010-04-01,-0.0143065130227119,2010-04-01,,,,,,,,,,-0.1217084191553887
2010-05-01,-0.0820985141170945,2010-05-01,,,,,,,,,,-0.1217084191553887
2010-06-01,-0.0536974381252088,2010-06-01,,,,,,,,,,-0.1217084191553887
2010-07-01,0.0678084327193659,2010-07-01,,,,,,,,,,-0.1217084191553887
2010-08-01,-0.119397211463652,2010-08-01,,,,,,,,,,-0.1217084191553887
2010-09-01,0.0816040739993022,2010-09-01,,,,,,,,,,-0.1217084191553887
2010-10-01,0.0659705058929498,2010-10-01,,,,,,,,,,-0.1217084191553887
2010-11-01,0.0099251569033129,2010-11-01,,,,,,,,,,-0.1217084191553887
2010-12-01,0.0654340806499098,2010-12-01,,,,,,,,,,-0.1217084191553887
2011-01-01,0.038301991406255,2011-01-01,,,,,,,,,,-0.1217084191553887
2011-02-01,0.0448015275067126,2011-02-01,,,,,,,,,,-0.1217084191553887
2011-03-01,0.0006446513978286,2011-03-01,,,,,,,,,,-0.1217084191553887
2011-04-01,0.0520777487803472,2011-04-01,,,,,,,,,,-0.1217084191553887
2011-05-01,-0.0520230885216265,2011-05-01,,,,,,,,,,-0.1217084191553887
2011-06-01,-0.0513475547708743,2011-06-01,,,,,,,,,,-0.1217084191553887
2011-07-01,-0.0097896513983676,2011-07-01,,,,,,,,,,-0.1217084191553887
2011-08-01,-0.0838119153199482,2011-08-01,,,,,,,,,,-0.1217084191553887
2011-09-01,-0.1024465637100578,2011-09-01,,,,,,,,,,-0.1217084191553887
2011-10-01,0.2201656616763703,2011-10-01,,,,,,,,,,-0.1217084191553887
2011-11-01,0.013594369492035,2011-11-01,,,,,,,,,,-0.1217084191553887
2011-12-01,-0.0007960023998238,2011-12-01,,,,,,,,,,-0.1217084191553887
2012-01-01,0.0889767193316668,2012-01-01,,,,,,,,,,-0.1217084191553887
2012-02-01,0.0345040590769407,2012-02-01,,,,,,,,,,-0.1217084191553887
2012-03-01,0.012407812147803,2012-03-01,,,,,,,,,,-0.1217084191553887
2012-04-01,-0.059659152229898,2012-04-01,,,,,,,,,,-0.1217084191553887
2012-05-01,-0.1317161558463313,2012-05-01,,,,,,,,,,-0.1217084191553887
2012-06-01,0.0807613136469265,2012-06-01,,,,,,,,,,-0.1217084191553887
2012-07-01,-0.0254802133609998,2012-07-01,,,,,,,,,,-0.1217084191553887
2012-08-01,0.026728424824933,2012-08-01,,,,,,,,,,-0.1217084191553887
2012-09-01,0.0079719586246598,2012-09-01,,,,,,,,,,-0.1217084191553887
2012-10-01,-0.0522735937274403,2012-10-01,,,,,,,,,,-0.1217084191553887
2012-11-01,-0.0173722228746016,2012-11-01,,,,,,,,,,-0.1217084191553887
2012-12-01,0.0369789478706079,2012-12-01,,,,,,,,,,-0.1217084191553887
2013-01-01,0.0659380020170918,2013-01-01,,,,,,,,,,-0.1217084191553887
2013-02-01,-0.0201787222663685,2013-02-01,,,,,,,,,,-0.1217084191553887
2013-03-01,0.0237058821464071,2013-03-01,,,,,,,,,,-0.1217084191553887
2013-04-01,0.0347990937559172,2013-04-01,,,,,,,,,,-0.1217084191553887
2013-05-01,0.1002222527517471,2013-05-01,,,,,,,,,,-0.1217084191553887
2013-06-01,-0.0161325119832337,2013-06-01,,,,,,,,,,-0.1217084191553887
2013-07-01,0.0293394630861734,2013-07-01,,,,,,,,,,-0.1217084191553887
2013-08-01,-0.0346983584616721,2013-08-01,,,,,,,,,,-0.1217084191553887
2013-09-01,0.0568271401991102,2013-09-01,,,,,,,,,,-0.1217084191553887
2013-10-01,0.0038708201963824,2013-10-01,,,,,,,,,,-0.1217084191553887
2013-11-01,0.0427354728402176,2013-11-01,,,,,,,,,,-0.1217084191553887
2013-12-01,0.0384587312000321,2013-12-01,,,,,,,,,,-0.1217084191553887
2014-01-01,-0.0556645942371573,2014-01-01,,,,,,,,,,-0.1217084191553887
2014-02-01,0.0641783363945347,2014-02-01,,,,,,,,,,-0.1217084191553887
2014-03-01,0.0256158445921057,2014-03-01,,,,,,,,,,-0.1217084191553887
2014-04-01,-0.0027151399125814,2014-04-01,,,,,,,,,,-0.1217084191553887
2014-05-01,0.0146979025247333,2014-05-01,,,,,,,,,,-0.1217084191553887
2014-06-01,0.077855286961314,2014-06-01,,,,,,,,,,-0.1217084191553887
2014-07-01,-0.0141303074680937,2014-07-01,,,,,,,,,,-0.1217084191553887
2014-08-01,0.0372374534656616,2014-08-01,,,,,,,,,,-0.1217084191553887
2014-09-01,-0.0311276694100507,2014-09-01,,,,,,,,,,-0.1217084191553887
2014-10-01,-0.0032482055414272,2014-10-01,,,,,,,,,,-0.1217084191553887
2014-11-01,0.0133831967696229,2014-11-01,,,,,,,,,,-0.1217084191553887
2014-12-01,0.0101119624970043,2014-12-01,,,,,,,,,,-0.1217084191553887
2015-01-01,-0.064110318394876,2015-01-01,,,,,,,,,,-0.1217084191553887
2015-02-01,0.0461511052866812,2015-02-01,,,,,,,,,,-0.1217084191553887
2015-03-01,-0.0574831574471529,2015-03-01,,,,,,,,,,-0.1217084191553887
2015-04-01,0.0129321614922104,2015-04-01,,,,,,,,,,-0.1217084191553887
2015-05-01,0.0093828010883825,2015-05-01,,,,,,,,,,-0.1217084191553887
2015-06-01,-0.0658079885198017,2015-06-01,,,,,,,,,,-0.1217084191553887
2015-07-01,-0.0572172508107361,2015-07-01,,,,,,,,,,-0.1217084191553887
2015-08-01,-0.0687828173194933,2015-08-01,,,,,,,,,,-0.1217084191553887
2015-09-01,0.0002338313215215,2015-09-01,,,,,,,,,,-0.1217084191553887
2015-10-01,0.1100427138766924,2015-10-01,,,,,,,,,,-0.1217084191553887
2015-11-01,-0.0076682514287761,2015-11-01,,,,,,,,,,-0.1217084191553887
2015-12-01,-0.0283600258978353,2015-12-01,,,,,,,,,,-0.1217084191553887
2016-01-01,-0.0780743435446966,2016-01-01,,,,,,,,,,-0.1217084191553887
2016-02-01,-0.0073965495527619,2016-02-01,,,,,,,,,,-0.1217084191553887
2016-03-01,0.0594054216580206,2016-03-01,,,,,,,,,,-0.1217084191553887
2016-04-01,0.049691407291277,2016-04-01,,,,,,,,,,-0.1217084191553887
2016-05-01,0.0451741372647485,2016-05-01,,,,,,,,,,-0.1217084191553887
2016-06-01,0.0377159094295509,2016-06-01,,,,,,,,,,-0.1217084191553887
2016-07-01,0.0904047794502562,2016-07-01,,,,,,,,,,-0.1217084191553887
2016-08-01,0.0540690227811933,2016-08-01,,,,,,,,,,-0.1217084191553887
2016-09-01,0.012411636789213,2016-09-01,,,,,,,,,,-0.1217084191553887
2016-10-01,-0.0013072767556627,2016-10-01,,,,,,,,,,-0.1217084191553887
2016-11-01,0.0948679588536851,2016-11-01,,,,,,,,,,-0.1217084191553887
2016-12-01,0.0898378812767233,2016-12-01,,,,,,,,,,-0.1217084191553887
2017-01-01,0.0004626236681302,2017-01-01,,,,,,,,,,-0.1217084191553887
